PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23
-3.4427464,-0.4369689,1.2651873,1.0038512,6.746945,-15.437626,-31.255762,-2.311417,-0.60722345,-0.10288715,-2.5420318,11.785488,-3.291465,9.404183,4.796177,6.984988,-7.169808,5.1925974,0.0152067235,0.5445467,-11.142464,1.1342477,-4.8348107
-2.687387,-0.05521045,1.3380492,2.5113423,4.2338943,-1.5524999,-2.719487,0.61901,5.242483,-0.6399043,-0.1415066,3.3650422,-2.0539167,0.78144693,1.79871,1.9966391,-2.700944,-1.9247831,-2.6238635,-0.39424127,0.849999,1.1012634,-0.6885157
-1.5330034,-1.0878718,1.1582463,4.1927114,1.1333991,2.1436105,-1.0843992,3.2032194,4.7476315,1.546027,-1.0435452,0.8141548,-0.63499594,0.9555131,1.2745723,-4.172994,-1.2344552,-3.7904177,1.2895565,0.47716182,0.844715,1.831662,1.6791817
-0.6857027,0.58243054,0.56649333,-0.1609819,3.6219838,3.0135992,0.2619418,-4.2707825,2.653725,0.9323339,3.06863,1.7353631,4.0335164,-2.7753377,-5.0326242,1.3839959,0.5079742,-0.5250225,-0.5651824,0.47182983,3.7609167,0.3850461,1.8516892
-2.3052025,0.6869339,1.7526407,0.5404137,2.2766016,-0.1691063,-7.6184673,-0.2042077,5.4896197,-0.28602803,-1.5960714,5.2480597,0.7462796,0.42111677,0.07981632,1.135,-1.7151688,-1.3628435,-2.896436,1.5751745,-1.4295963,0.55684465,1.2024482
1.1308573,-0.07932401,-0.83034134,-2.4842777,-0.73778474,2.2213912,3.3057253,-2.374286,-3.5489476,0.7289901,-0.028944427,-1.2979689,2.9774306,-1.9101468,-3.9342988,-1.3750676,3.1672146,1.1657996,1.8953018,0.4996816,0.56265175,-1.1566062,1.3178836
-2.6862555,-0.19787838,0.0021229521,-0.72022474,1.7106106,0.8856749,0.12800793,-3.390684,3.1379921,1.1027832,-0.6318315,0.33176416,0.74875903,-1.1812475,-1.3536918,-0.5502647,1.6752794,-1.8845454,2.1467226,0.97124183,0.110306956,0.2698246,1.062721
0.9674392,-0.8664008,-0.89357674,-1.1226391,-3.7572243,0.4939481,0.13387515,1.0914865,-2.698066,0.5196662,-2.4483283,-2.3055725,-1.1761487,0.15278225,0.05910675,-2.043333,1.7591851,1.0159768,2.152574,0.34991834,-5.016962,-0.6415275,0.18259855
-3.3874755,-0.90363455,0.5845266,2.7227907,-0.34597012,-1.1646949,-3.6793199,4.426177,1.5779704,-0.114654705,-3.5140376,0.27530265,-3.734759,3.065277,4.2212186,-1.6073257,-1.1435232,-2.710768,-0.20217147,0.1706656,-1.7011911,0.83684325,-0.425614
15.26626,5.740294,3.2447355,9.6223545,-7.690195,-4.0642734,5.084149,-0.6709102,0.40184516,9.9860735,20.282856,-4.774391,-11.344814,-13.197639,6.522462,-23.843956,-6.7945166,3.9269023,14.414021,0.20355779,-12.278833,-2.3260908,3.879123
0.3467527,-0.6268366,-0.9510366,-0.22898449,-1.6788542,3.4777553,-0.30300304,1.0559077,0.08856038,2.3437307,0.8712898,-0.95871055,4.349615,1.6038387,-2.9390285,-3.4254358,2.2108052,-0.1630744,4.3503222,1.6226298,3.8228617,-0.15036637,0.968656
1.6515751,1.3080567,-0.60995215,-0.075265184,-1.4986038,0.056584194,-0.768408,-1.7801822,-3.187863,-0.3513808,-4.1289306,-1.2084714,-4.056034,-0.24396455,-0.45338973,2.0192144,0.12880072,1.4262723,-0.565666,-2.3366468,1.2351451,0.6541999,-0.7540366
